RowNum,output,input,instruction
71,Updated UW Reports ,"It's the last day and only $135,000 more to go! We're at 95.35% of our $2.9M goal, 70% contribution rate, and 75% participation rate. I've attached the latest report so you can see how your business unit or functional group is doing. The final push is on. Wouldn't it be great to get to $2.9M by 5:00 p.m. today! Please call if I can help you in any way today. I know we can get there. Thanks for all of your help, Kathy  ",Summarize the email and create a subject line.
72,"Research Report for Wednesday, August 29, 2001 ","Attached is your daily market research report. Please contact me if you would like to hear about a certain company, or sector, and I will get right on it! As you may or may not know, we have access now to research from Goldman Sachs, CS First Boston, as well as First Union Equity Marketing Group. T  hank You,  Hank Emery  ",Summarize the email and create a subject line.
73,Business Rationale for Retention ,"As per our discussion, the first step was to identify the participants in the retention program. The next step is to build the business case for why these employees are critical and irreplaceable to your business unit. Please provided a brief rational for why these employees were selected. Additionally, if there is a unique situation or circumstance that makes your area more vulnerable, please included in an overall business summary. For example: if your unit has a limited number of people supporting a critical area necessary to maintaining or increasing the value of the estate or the liquidation of assets, include this in your business summary. Demonstrate why it would be difficult to train someone else to perform a similar function. You should also comment on why the employee was recommended for the Milestone Program. As you know this information is time sensitive, so please try and get it to me as soon as possible. I appreciate you taking time out of your busy schedule to meet with me on such short notice. Please call me (5x3662) if you have any questions. Regards,  ",Summarize the email and create a subject line.
74,General Alarm---Enron Metals Recycling ,"A ""Doorstep"" inspection of this business was performed in accordance with our  procedures and apparently this business is a disaster!!! We need immediate  action on this up to and including shutting it down. This was the worst we  have seen at Enron and I don't even want to put in this email what I heard  was going on there. We need a coordinated solution here asap to avoid a real disaster, if there  isn't one already. I'll speak with Rick Causey here about what immediate  action we should take but the more you guys can dig into this the better. More to come. Rick  ",Summarize the email and create a subject line.
75,Saleries ,You all should have received instruction from Sheila W. on the system for  salaries. I need that info late today so I can look at over the weekend. Numbers are due Monday am. Rick  ,Summarize the email and create a subject line.
76,Starburst Deal ,Deal needs to go to Skilling (or OOC) because capital price exceeds return. Otherwise Frevert could sign. I am authorised to sign for Jeff up to $25 MM  after I leave him a voice mail. After I review deal I will voice mail Jeff  and that should work. Rick  ,Summarize the email and create a subject line.
77,Dabhol Phase II l/cs ,did i send this to already? fyi. this was very contentious at India mtg w/  Lay & Skilling. We need to understand what our exposure is. You need to  become our India expert. Tx Rick  ,Summarize the email and create a subject line.
78,Candidate ,Totally supportive  of candidate. I hope we can get her. Only issue was  reluctance to move to Houston or London. That will hurt us eventually. Rick  ,Summarize the email and create a subject line.
79,Transition ,I was really hoping we could do this on a best efforts basis with all of us  covering any issues arising during the month of December. Since there seems  to be insistence on a date certain there is no choice but to have Steve start  in EBS on 1-1-2001. Ted can't physically be there until then. It will be  difficult to have full RAC responsibility without physically being there. Rick  ,Summarize the email and create a subject line.
80,Engine MACT -- Air Compliance Committee/Network ,"Please get with each of your teams and confirm this information. If we need a conference call we can do that too. Thanks!! Mike, Lary Susan,  this is for you. I am off for the rest of the year, but I will be comiung in for two half days each week. Probably Monday and Wednesday. You can reach me on my mobile and home phone.  ",Summarize the email and create a subject line.
81,Your Requested Information ,"This is an automatically-generated response from the AOL Instant Messenger(SM) service. The information you requested is ""megan1"". ::: Did you know that you can use your AIM(SM) service screen name to sign onto other great AOL Web Products? :::  ",Summarize the email and create a subject line.
82,EFCU Gets You Connected ,Get Connected with e-Statements. Sign up for Electronic Statements from Enron Federal Credit Union by November 15 to be entered into a contest to win a Palm Vx! Log on to www.enronfcu.com to apply or for more information.  ,Summarize the email and create a subject line.
83,"Alert Posted: 3:25 PM Monday, September 24, 2001: GOS	Scheduled  Maintenance ","Alert Posted: 3:25 PM Monday, September 24, 2001: GOS Scheduled Maintenance GOS will be down on Monday, September 24, 2001 from 11:00 p.m. until 2:30 a.m. on Tuesday, September 25, 2001 for scheduled maintenance. We apologize for any inconvenience that this may cause. Thank you.  ",Summarize the email and create a subject line.
84,MIS ,"barkerde@nmenergy.com writes to the NYISO_TECH_EXCHANGE Discussion List:    While being entertained at the latest OSS working group meeting,  the limitation of being able to only schedule MIS 14 days in advance was brought up. Once upon a time, when business rules and bidding rules were changing faster then tires on pit row, it was agreed to limit the entries to 14 days in order to avoid having long term deals fail (as per nameless NYISO guy). Now that things have slowed down and bidders are more savvy and able to babysit their bids, we should be looking to expand the time frame for placing longer term bids in MIS. An  informed NYISO guy (different guy by the way) said it would be easy and using 4-5 man days to do. I have talked to Ray Kinney (Chair of the S&P WG) and gave him the same song. If your shop would like to see the MIS limit lifted, have your representative to the S&P WG help it along. Please don't bother Ray directly or my TIE messages will rerouted to the Quilting Forum.  ",Summarize the email and create a subject line.
85,"NYISO - Software Release - October 17, 2001 ","market_relations@nyiso.com writes to the NYISO_TECH_EXCHANGE Discussion List:  Dear Market Participants,  Administrative changes will be made to the NYISO web server computers on October 17, 2001. These changes will have no noticeable effects on performance or functionality, however, a short MIS outage is required. This outage will begin at approximately 11:35 AM and last for 60 minutes. If you have any questions, please call Customer Relations at 518-356-6060. Regards,  ",Summarize the email and create a subject line.
86,Version Mapping for January 2001 and May 2001 Settlement  Adjustments ,"Market Participants:  Attached below are the version mapping for January 2001 and May 2001. All advisory statements for January 2001 have posted to each customer's secure web site with the exception of January 24, 2001. This file will be posted today, and I will notify you with another announcement when this occurs. (See attached file: January_2001_SA2_Version_Mapping.xls)(See attached file: May_2001_SA1_ Version_Mapping.xls)  - January_2001_SA2_Version_Mapping.xls   - May_2001_SA1_ Version_Mapping.xls  ",Summarize the email and create a subject line.
87,Orders issued today in NYISO and ISO-NE proceedings ,"Today FERC issued the following draft orders:  NYISO TEP and Bid Cap (ER01-3001):  Commission granted NYISO's request to extend the currently effective $1000/MWh Bid Caps on certain NYISO adminstered markets, and to extend its Temporary Extraordinary Procedures for Correcting Market Design Flaws and Addressing Transitional Abnormalities, until the Northeastern RTO is operational. The Commission ordered NYISO to narrow the scope of the TEP, and to file tariff sheets doing so within 30 days. NYISO proposed virtual bidding procedures (ER01-3009; ER01-3153):  Tariff changes to implement virtual bidding were approved. The changes would allow market participants to bid non-physical generation and load into the day-ahead market and settle the bids in the real-time market. Also accepted were NYISOs Market Mitigation Measures to address gaming or market power strategies that might emerge as a result of the virtual bidding. NYISO - Cost responsibility for new interconnections. (ER01-2967):  Tariff changes allocating cost responsibility for interconnection facilities. The provisions allocate to developers 100% of the cost of facilities necessary to physically interconnect the project. Additionally, developers are allocated the coswts for transmission system upgrades that would not have been made ""but for"" the interconnection, minus the cost of any facilities that the NYISO's regional plan dictates would have been necessary anyway for load growth and reliability purposes. ISO-NE - Interim Bid Caps (ER01-3086):  Commission approved extension of bid caps until the Northeastern RTO is operational. Calpine v. ISO-NE (EL01-124):  Commission granted complaint by Calpine and Mirant, finding that ISO-NE has amended Market Rule 5 to exclude external contracts from setting the energy clearing price, in violation of a Commission order. If you need further information, please let me know. Susan Lindberg x30596  ",Summarize the email and create a subject line.
88,Price Reservations for the 14 July RTM and 15 July DAM ,"JSavitt@nyiso.com writes to the NYISO_TECH_EXCHANGE Discussion List:  The NYISO is reserving hours-beginning 6 and 10 in the 14 July 2001 real-time market to verify prices. Prices in the 15 July 2001 Day-Ahead market are correct. Pursuant to ECA-B the NYISO is reserving the following hours at the following external proxy buses: HQ: 02:00, 10:00, 23:00 NE: 02:00, 10:00, 23:00 OH: 02:00, 10:00, 23:00 PJM: 02:00, 10:00, 23:00  ",Summarize the email and create a subject line.
89,Xcel Energy Inc. to Northern States Power Company ,"On Aug. 18, 2000, New Century Energies, Inc. and Northern States Power Company (NSP) merged and formed Xcel Energy Inc.    As part of the merger, NSP transferred its existing utility operations that were being conducted directly by NSP at the parent company level to a newly formed subsidiary of Xcel Energy named Northern States Power Company. Because of the merger, the record was overlayed in Global Counterparty and all history for Northern States Power Company is now under Xcel Energy. A new Northern States Power Company record has been created in Global. I will be moving all Xcel deals with a July 1, 2001 forward flow date to the newly created record for Northern States Power Company. Xcel Energy will be inactivated in Enpower. Please choose Northern States Power Company (NORTHERNST) for future deals with this counterparty.  ",Summarize the email and create a subject line.
90,SAP Security Mailbox functional again ,"The technical difficulties with the SAP Security email box have been resolved. You may once again follow the normal submission process as noted in the instructions for the SAP Security Request Form and the IBuyit eProcurement Request Form. If you submitted a request for security during the week of  July 16-20 and have NOT received a notification of it's receipt, please resubmit the form. We can not be certain that all mail directed to the box during this period was actually received. We apologize for any inconvenience that this may have caused you.  ",Summarize the email and create a subject line.
91,New Certification Form ,"As part of our on going effort to streamline the ICAP process, we are implementing a new method and form for the monthly ICAP certification process. Starting with the August 24, certification date please use the attached form. Both Suppliers and LSEs will use the same form thus eliminating two forms for those who buy and sell ICAP. Also, the forms will not longer be faxed to our office. We are requiring that you password protect the workbook and email it to us. Your password will be the same one you are currently using for bid and offer forms. If you do not have a password, please contact Serena Barrett or myself and one will be issued to you. It is important that you read the legal page in the workbook. Please review the workbook spreadsheet ""List Page"" and find your company's 8 character registrant name. If you do not find your company or the name of a company you do ICAP business with please contact me. Starting with the winter strip auction your 8 character registrant name will also be your new registrant name for bid and offer forms. Attached are three workbooks. The one you will use monthly is blank and ready for use. The other two were developed as examples to answer your basic questions. Please contact me by email if you have any questions. Regards,  ",Summarize the email and create a subject line.
92,NYS Reliability Council Executive Committee ,"The Executive Committee of the New York State Reliability Council (""NYSRC"") is posting this message to inform all interested parties of the ability to attend in person or participate, on a ""listen-only"" basis, in the NYSRC Executive Committee's Meeting No. 28 scheduled for August 17, 2001, starting at 10:00A.M. at the Albany Country Club in Guilderland, NY. Attached in Word format is the Agenda for this meeting. Also attached are two pdf files with directions to the Albany Country Club. The NYSRC has opened its Committee, Subcommittee, and Working Group meetings in accordance with NYSRC Policy No. 2, which is available of the NYSRC web site at ""www.nysrc.org"", on the ""Policies"" web page. Those who plan on attending the meeting in person are requested to contact me at least seven (7) days in advance of the meeting (by at least August 10th) by sending me an email at ""jcfleury@nyseg.com"", with the names of the individuals & organizations attending. Meeting space will be available on a first-come, first-served basis due to the space limitations of the conference rooms. Those wishing to participate on a ""listen-only"" basis can call (304) 345-7506, and enter Participant Code 903712, starting at 10:00 A.M. Participants will be required to place their telephones on mute so as not to prevent other parties from participating. Those who plan on listening to the meeting shall send an email to my attention at ""jcfleury@nyseg.com"" with the names of the individuals & organizations participating. Attendees who are not NYSRC Executive Committee Members or Alternate Members will be given an opportunity to comment at the end of each meeting, or earlier at the Chairman's invitation.  ",Summarize the email and create a subject line.
93,PJM Interconnection LLC OATT revisions (ER01-2327) ,"On July 25, 2001, FERC issued an order approving PJM's modification of the deadline for reserving daily, firm point-to-point transmission service from noon on the second day prior to commencement of service to noon on the day prior to the commencement of service, effective June 18, 2001. If you need further information, please let me know. Susan Scott Lindberg 	x30596  ",Summarize the email and create a subject line.
94,CountryWatch Training ,"eSource Presents Free CountryWatch Training  This class will provide an introduction and overview of the CountryWatch product offerings and services including  Country Reviews, Country Wire, CountryWatch Data and Business Services components. Identify how Enron employees can use the CountryWatch products in order to satisfy country-specific research and business needs. Attend one of our CountryWatch Sessions:  				 	August 13	1:30 - 2:30 PM	EB5C2 	August 13	2:45 - 3:45 PM	EB5C2  ",Summarize the email and create a subject line.
95,"Environmental findings, Koch South Texas Records Review ","Randy, this is a short summary of the environmental findings that were  identified during the records review conducted at the Corpus Christi Koch  facility offices on May 1st and 2nd of this year. All environmental records which were available in the file data room at the  Koch office  were reviewed. Assumptions were made that the environmental  records were complete for all assets included in the sale. Primary emphasis  was placed on those environmental issues which are normally associated with a  sale or purchase of assets dealing with distribution and transmission of  crude oil. In particular, pipeline and tank farms were the most critical  assets which were reviewed. Based upon the data review, the Koch assets were in compliance with the  following:    Air permitting, permit by rule, standard expemtions, recordkeeping and fee  payments were documented     NSPS recordkeeping and inspections for VOC control on large crude oil tanks  were documented     Oil Pollution Act-OPA 90 plans had been prepared and were up to date    SARA compliance and reporting had been completed    SPCC plans had been prepared for each site which qualified under 40 CFR 112    Spill reporting history and notifications to the state agency were  available for review     There are ongoing groundwater and soil remediation activities at one site  included in the asset for sale      (permits for the remediation activity is in place)    Hazardous waste notifications, annual reportings and fee payments were  documented  Based upon the above review, there were no issues which could be identified  which would be condsidered a major environmental limitation or would be a  considered a major environmental  liability. This statement is again based  upon the assumption that all environmental information was present in the  data room for the assets in question. It should also be stated that this  analysis of Koch's environmental compliance is based upon the fact that Koch  has not held back or provided false or misleading information or knowledge  during their presentation or informaiton contained in the facility files. Pending further development and interest of this potential purchase, a  recommendation is made to conduct a phase I due diligence and site visit to  each location to verify findings from the records review. Also, due to the  past history of Koch's operating practices, it is recommended that contract  conditions be implicitly stated that EOTT will not be held liable for  discoveries of past deficiencies or releases of contamination which have  occurred on any of the Koch assets purchased.  ",Summarize the email and create a subject line.
96,Phone Conversation with TNC ,"Today I spoke with Jean Calhoun of the Arizona Chapter of The Nature  Conservancy about the proposed Sundevil Pipeline Construction Project. She  was very cordial and appreciative concerning Transwestern's proactive efforts  to contact not only her office but all federal and state agencies  which may  have jurisdictional lands impacted by the project. Although the proposed  route of the pipeline corridor has not been firmly established, she did   offer some general, yet valuable information concerning the geographic area  which exists south of Flagstaff into roughly northern Phoenix. The area south of Flagstaff into Phoenix crosses of three major ecological  regions identified by the TNC with major biological diversity of plants and  animals. The TNC has completed published studies on two of the regions. The  TNC has requested that should this project be apporved, these publications be  used to assist in the environmental studies which will need to be completed  prior to construction and approval by FERC. To the south and east of  Flagstaff is a sensitive portfolio consisting of the Verde River which is of  ecologic interest due to the abundance of endangered fish and bird species  which live in and around the area of the River. This river could be  impacted by the pipeline due to its meandering in a southwesterly direction  across Arizona. I have contacted other state and federal governmental agencies, in addition  to the TNC, and all parties have expressed difficulity in assessing the  environmental impact of a project of this magnitude without knowing the  pipeline corridor route. Part of this concern is due to the extensive and  unique biological diversity of Arizona. I think we will have a better handle  on how we address the environmental concerns and opportunities when this  piece of the puzzle is completed and also how much more specific and helpful  the agencies assistance will be when identified areas are known.  ",Summarize the email and create a subject line.
97,Additonal Information Concerning PG&E ,"On a related note, I spoke to Vector concerning the equipment which was  suggested for cleaning on the PG&E system. It is as follows:   2 scrubbers, some underground C/S piping, filter separator, horizontal tank,  2-10.84 drip locations  The Vector proposal for mobilization, demobilizataion and cleaning the above  PG&E equipment will be approx. $ 75, 000. I approached Vector about the pipeline cleaning between our M/S and their  C/S. They quoted a turn key price of $34,000. Because this piping belongs  to Transwestern, we should contract this cleaning ourselves. If the decision  is made to address this cleaning, I think we would want to have it done  during the same time period as the PG&E cleaning activities. I will also  need some lead time to notify Vector and determine an appropriate methodology  to be used. Vector apparently has an approved methodology for cleaning pipes  to 36"". One additional note, apparently PG&E has discovered PCBs in their gas  compressors. In wipe samples taken of the internal compressors PCBs were  found at regulated levels.....  ",Summarize the email and create a subject line.
98,"Fuel Consumption, La Plata A ","Guys, I received Harrell's memo concerning the fuel use for the turbine and  the fact that you had to reduce gas producer speeds to comply with the  permits fuel use requirements. My question is, how does the fuel use compare  with what Solar says the fuel use should be? If we can get Solar to provide  written guarantees and ""UP"" the fuel use value for the turbine, we can up the  fuel value on the permit. The state of Colorado perceives increased fuel use  beyond manufacturers values as the turbine not operating correctly and in  need of mechanical adjustment. From their eyes, this would be a strong  indication of excess emissions, and I think there evaluation would hold some  merit. Anyway, I dont want to send up a red flag to the state of Colorado. Would you contact Solar and compare their fuel use values with what the  monitors say the turbine is burning at La Plata? Then let me know. If worse gets to worse, I may be able to use another  tactic, but only as a last resort.  ",Summarize the email and create a subject line.
99,"Due Diligence, Equilon Pipeline Company ","Louie/John, this memo summerizes the results of the environmental due  diligence which was performed on the Texas Panhandle and Cortez, Colorado  portions of Equilon pipline system for which EOTT may be interested in  purchasing. This memo presents those environmental issues which may be or  were identified as a potential environmental concern. Lefors (Texas Panhandle Segment)  Assets on this portion of the system which may have environmental  issues  were the following:  1-80,000 bbl. liquids product storage tank, 41 small  tank batteries consisting of 1-3 product storage tanks each. Average tank  size is 210 bbl. Approximately 15 tank locations are within 1/4 mile of an  existing waterway. There are stream and river crossings included in this  package. The pipeline crossings viewed appeared to have sufficient  soil  coverage and did have block valves on the upstream and downstream portions of  the pipeline crossings. 1. Clean Air Act. There were no records kept at any office or location which  would assist in the determination of compliance with Title III, or Title V.   The  following documents were not present:  emissions inventories and or  records of fees paid, O&G MACT compliance (HAP's),  operating permits. NSPS   Supart Kb compliance could not be determined also. The 80,000 bbl tank  construction date was in the 1930's and has a fixed roof. It has a concrete   bottom and the  tank has never been emptied for inspection. No  Railroad  Commission 653 inspection has ever been conducted. 2. Clean Water Act. Although soil berm and containments were present around  all tanks that were inspected, SPCC plans were not available at any  location. Interviews with the Equilon personnel stated that there had never  been a reportable release from this tank. In addition, location Texaco MB   Davis pump  station had a small 3'x4' UST which received liquids from leaking  packing material which had overflowed and visible soil staining was present. At this  location a T-stand pipe had been constructed into the soil berm to  allow discharge of rainwater from the containment area. This water  discharged into  an ephermal arroyo which ultimately collects into the North  Fork of the Red River, a perennial stream. 3. NESHAPS. At the Lefors Station, there exists several joints of new and  used pipe which is suspected of having external coating and pipe wrapping    containing asbestos. 4. NORMS. A NORM survey has not been conducted on any portion of the assets  which are identified in the bid package. 5. Soil Staining. There was minor soil staining at all locations inspected. 6. There is one active groundwater remediation in progress identified as the  ""10 mile hole"". Equilon will retain ownership of this issue. There had been  two  pipeline remediation projects for which Equilon had reported to the TRRC  and had remediated the site. 7. TSCA. One electrical transformer was discovered at the Lefors Station. It had been tested and determined to not have PCB's. 8. Safe Drinking Water Act. There was an abandoned drinking water well at  the Lefors Station. It had not been in service for an undetermined period of  time. 9. RCRA. There was an abandoned out of service Fox boro meter at the Lefors  Station. Status of the potential releases of mercury could not be visibally   determined. Bug-Patterson Gathering System (Cortez, Colorado)  This system includes the following:   Lady Bug Station  minor incidental equipment at this location. 1. There were no environmental issues at this site from assets owned by  Equilon. Adjacent to this site was a producer site which had been blowing    hydrocarbon liquids into an earthern unlined pit. There was historic use of  this pit. Although surface contamination from this pit was present, it was  not  known whether subsurface soil and groundwater conditions underlying the  Equilon assets had been impacted. Patterson Station 1-10,000 bbl floating roof steel product storage tank with  fiberglass bottom, installation date 1981, one propane driven waukesha F817GU  engine horsepower unknown,    1. Clean Air Act. There were no records kept at any office or location which  would assist in the determination of compliance with Title III, or Title V or  the  construction permit notification process administered by the Colorado  Department of Public Health and Environment. The  following documents were  not  present:  emissions inventories and or records of fees paid, O&G MACT  compliance (HAP's),  operating or construction permits. NSPS subpart Kb    compliance could not be determined. Determination of the permitting status  for the six cylinder Waukesha could not be determined. 2. Clean Water Act. Although soil berm and containments were present, an  SPCC plan was not available at this location. Interviews with the Equilon    personnel stated that there had never been a reportable release from this  tank. Rainwater which collected into the containment was discharged into an   ephermal arroyo by a pipe constructed into and through the dirt containment. 3. NORMS. A NORM survey has not been conducted on any portion of the assets  which are identified in the bid package. 4. Minor soil staining was present around the 10,000 bbl tank. 5. Adjacent to this site was a producer site which had been blowing   hydrocarbon liquids into an earthern unlined pit. There was historic use of  this pit. Although surface contamination from this pit was present, it was  not known whether subsurface soil and groundwater conditions underlying the    Equilon assets had been impacted. Patterson Junction  1-10,000 bbl floating roof steel product storage tank  with fiberglass bottom installation date 1987. Electrical pumps were present  to transfer liquids from the 10,000 bbl tank to the truck loading facilities. 1. Clean Air Act. There were no records kept at any office or location which  would assist in the determination of compliance with Title III, or Title V or  the  construction permit notification process administered by the Colorado  Department of Public Health and Environment. The  following documents were  not  present:  emissions inventories and or records of fees paid, O&G MACT  compliance (HAP's),  operating or construction permits. NSPS subpart Kb    compliance could not be determined. Determination of the permitting status  for the six cylinder Waukesha could not be determined. 2. Clean Water Act. Although soil berm and containments were present, an  SPCC plan was not available at this location. Interviews with the Equilon    personnel stated that there had never been a reportable release from this  tank. Rainwater which collected into the containment was discharged into an   ephermal arroyo by a pipe constructed into and through the dirt containment. 3. NORMS. A NORM survey has not been conducted on any portion of the assets  which are identified in the bid package. 4. Minor soil staining was present around the 10,000 bbl tank and transfer  pumps. 5. A small bucket had been placed into the ground, below ground surface to  collect liquids from meter. Cortez Office. In the office yard, several environmental issues were present  and are listed as follows:   old spent 12 volt batteries  empty drums  open buckets containing oil and oilfield sludge  The  pipeline stream crossing at the Montezuma Creek  showed the pipeline to  be exposed in the bottom of the creek for a distance of approx. 12 feet. There were block valves on the upstream and downstream segments of this  crossing. and the equipment in the Cortez office building.  ",Summarize the email and create a subject line.
100,Severance ,"Can we use credited service date for sev calc? I have a person who was hired in 1997, left in 1999 and was rehired 	in April 2001. The system is using a 1998 service date for severance. I calculated in on the 2001 re hire date.  ",Summarize the email and create a subject line.
101,W. Virginia office ,"Michelle,  Our Coal group is planning to close an office we have in WV at the end of this year. There are 4 employees in this location; one has been offered a job in Houston and has declined, another employee may be offered a job with a JV we have nearby. I wanted to see if there are any notification requirements in WV and if so, what they are. Thanks,  ",Summarize the email and create a subject line.
102,Canadian Legal Determination ,"Hi Michelle,  Have you spoken with the fair employment attorney in Montreal yet? Please let me know if we will be able to roll out a similar voluntary separation program in Montreal. Thanks  ",Summarize the email and create a subject line.
103,Revised EEO and Harassment Prevention policies ,"Hello Lizzette and Michelle, Attached are the revised EEO and Harassment Prevention policies, and links for all policies. Lizzette, I noted that you placed a question mark next to the ""Unlawful (under FMLA)"" link. It is my understanding that the FMLA policy narrative and the related links are going to be revised/updated by Kriste Sullivan and Chris Rahaim. In our last Project N-Form meeting, we agreed that Kriste and Chris would communicate their changes to Anne Labbe and Sarah Zarkowsky (members of the Content team). Please let me know if you have additional changes. Thanks again for your assistance! Wendy  ",Summarize the email and create a subject line.
104,Release re Canada ,"Twanda, would you please make this a form entitled ""Canada Release"" and then  draft one for John Gorman? I'll fill in the blanks. Thanks. MHC  ",Summarize the email and create a subject line.
105,Project Canary ,"Peter,  I learned yesterday for the first time about Project Canary, which involves  the purchase of an asset that employs 400 employees and also has a unionized  workforce. I understand that we are in the second round, and that there is a  deadline of 12/15. Peter, we have discussed on numerous occasions the need for you to get me  involved early whenever there are transactions involving personnel issues. You haven't involved me in this deal -- I learned about the fact that there  ",Summarize the email and create a subject line.
106,Agreement--Privileged and Confidential ,"Pat,  I am going to forward you a draft of an amendment to the employment agreement  for Greg Whalley. I would appreciate your thoughts on the language,  particularly the language in amended section 2.1b regarding the calculation  of value for options/restricted stock. For some reason, I cannot attach it to this email, so I will have my  assistant send it under separate email cover. Thanks a lot.  ",Summarize the email and create a subject line.
107,Recruiting/Contract Personnel Services Agreement ,"Attached is a draft of the Agreement for Recruiting or Contract Personnel  Services. This draft combines the Master Services Agreement, the Agreement  for Project Services, and the Staffing Services Agreement into a single,  comprehensive document. Attached to this, as applicable, will be a Project Work Description (""PWD"")  and/or a Staffing Services Description (""SSD""). I understand that HR is  working on a revised PWD. I will circulate the SSD in the near future. It will contain a more specific  description of staffing services (e.g. retained/contingency) as well as pay  rates. Please review this draft to determine if it fits your needs. Feel free to  throw darts! Let me know by return email if you have comments or questions. I will resolve as many as possible based upon your comments as well as those  of others in Legal, and circulate a revised draft based upon those comments. Thank you.  ",Summarize the email and create a subject line.
108,Vacation day ,"Please note that I will be out of the office Monday, November 12th, as a vacation day. If you should need me, I can be reach at home or via my cellular. Thanks. Karen  ",Summarize the email and create a subject line.
109,Derivatives II ,"REMINDER!!! You are enrolled in the following. Derivatives II November 1 & 2, 2001 in EB552 8:00 am - 5:00 pm  (both days)   Please complete the following quizzes and bring to class     Please be on time  ",Summarize the email and create a subject line.
110,Indonesia Pulp Capacity ,"The attached spreadsheet contains a preliminary analysis of projected capacity growth for Indonesia through the year 2005. While I feel reasonably comfortable with the numbers and the timing of projects coming online, some additional work will be required to gain 100% confidence in this information. This should be completed within the next two weeks. In addition, as the trend of replacing mixed tropical hardwood with higher quality plantation acacia is already underway, I will make an attempt to identify the timber resources of the largest market pulp producers and when they anticipate initiating production of acacia pulp. Given the scope of this project, it may require several weeks to complete. Finally, I'm considering implementing a monitoring system similiar to the one already covering the Brazilian producers so we can accurately track activity by the Indonesian producers. The information I've seen from PPPC, and particularly RISI, does not appear to be very accurate. However, if anyone has an alternative source for shipments, production, inventory, etc. data, I'm open to suggestions. In any case, I hope this assists in shedding some light on an otherwise difficult region, and, as always, I welcome your feedback. Thanks. Karen  ",Summarize the email and create a subject line.
111,September 2001 FERC California Report - Preliminary Ready for  Review ,"Here are the preliminary reports ready for your review. I have done a thorough analysis on Items 2 and 3 and feel very confident with the data. I will be finalizing my review of contract volume data in Item 1 no later than tomorrow and will advise if any changes are necessary. TK - Please update the daily rates for contract 27495 (Astra) and verify the rates in blue. Additionally, please verify that the discounted IT rates for contract 20248 and 22136 are correct as billed (it doesn't appear that these discounts appeared in the daily transactional report postings). I need all updates/comments no later than COB Monday, 10/29/01. Thanks,  ",Summarize the email and create a subject line.
112,OFO's For Reliant Energy ,"Dannis,  Per your instruction, I have issued an Operational Flow Order to Reliant Energy for gas day of Oct 19th. Germaine Grey and Bob Rossi of Reliant Energy have been contacted via phone & fax. I have also prepared the OFO form, the cover letter that contains the OFO tariff language, as well as the fax cover sheet  for gas days of October 20th & 21st in the event there is a need to issue an order. If by chance these orders are not issued, please let me know Monday, October 22nd so that I can remove the orders from the TSS system. I will leave this OFO information on your desk in the event you have questions or changes. Please pass along to Gas Control. Thanks,  ",Summarize the email and create a subject line.
113,Moving ,"Pam Daily would like for you to give her a call about moving to Steve's old office. She said she was getting the information second hand from Audry and found it quite hard to believe from her, so she would like to hear this from you. Her number is x36135  ",Summarize the email and create a subject line.
114,Pelican Schedule ,"Here is a schedule everyone can print out that shows all our games on one page. If you haven't already done so, please bring $20 to the first game. It will be for the treats after each game, a cake for the end of the year party, and the coaches gifts. Thanks   Cindy  ",Summarize the email and create a subject line.
115,TIME SENSITIVE: Executive Impact & Influence Program Survey ,"* IMMEDIATE ACTION REQUIRED - Do Not Delete * Executive Impact & Influence Program   Dear Sean Crandall,   As part of the Executive Impact and Influence Program, each participant is asked to gather input on the participant's own management styles and practices as experienced by their immediate manager, each direct report, and up to eight colleagues/peers. You have been requested to provide feedback for a participant attending the next program. Your input (i.e., a Self assessment, if you are a participant in this program, Manager assessment, Direct Report assessment, or Colleague/Peer assessment) will be combined with the input of others and used by the program participant to develop an action plan to improve his/her management styles and practices. If you are providing feedback as a Manager of the participant, please note that your feedback will be identified in the summary report. It is important that you complete this assessment NO LATER THAN CLOSE OF BUSINESS on Wednesday, October 24, 2001. To begin the online administration process, you will need the following Internet address and Password(s). NOTE:  If you are providing feedback for more than one person, each password and participant name is individually listed below. Open your Internet browser e.g., Internet Explorer or Netscape Navigator, and please type or copy the URL address below into your Internet browser (please DO NOT go through Lotus Notes):   www.fsddatasvc.com/enron   RQETFJ    (Stewart Rosman)  ",Summarize the email and create a subject line.
116,Master Termination Log ,"Attached is the Daily Termination List for January 25 as well as the Master Termination Log, which incorporates all terminations received through January 25. The following were previously on the Master Termination Log and have now been marked as ""Y"" for a valid termination:  Atlantic Coast Fibers, Inc.			ENA		pulp/paper transactions CNC-Containers Corporation			EPMI		master power agreement Public Utility District No. 1 of Chelan County	EPMI		deal no. 757497.01 Connect Energy Services, Inc.			ENA		liquids agreement NGL Supply, Inc. (including Premier		ENA/EGLI	physical & financial transactions referenced Energy Partners, a division of NGL Supply, Inc.) Plains Marketing, L.P.				ERAC		deal no. QG4563.1 Plains Marketing, L.P.				ERAC		deal no. QG4482.2  ",Summarize the email and create a subject line.
117,Montana Update ,"Holnam has just terminated their contract and Luzenac terminated earlier this month. Starting Feb.1, we should be delivering to Ash Grove Cement and LP. We are currently delivering to LP, and Ash grove suspended for the entire month of Jan.  Let me know if you have any questions. Thanks.  ",Summarize the email and create a subject line.
